0BSFd001	0BSFd002	0BSFd003	0BSFd004	0BSFd005	0BSFd006	0BSFd007	0BSFd008	0BSFd009	0BSFd010	0BSFd011	0BSFd012	0BSFd013	0BSFd014	0BSFd015	0BSFd016	0BSFd017	0BSFd018	0BSFd019	0BSFd020	0BSFd021	0BSFd022	0BSFd023	0BSFd024	0BSFd025
sq50;size=2456;	0	0	0	750	0	0	0	244	108	0	573	40	145	517	0	8	0	39	0	0	31	0	0	1	0
sq51;size=2439;	0	0	0	397	0	0	0	455	166	0	376	172	56	116	0	97	0	68	0	0	452	0	0	83	1
sq52;size=2416;	0	0	0	238	0	0	0	402	300	0	216	41	89	523	0	170	0	167	0	0	267	0	0	2	1
sq53;size=2408;	0	0	0	890	0	0	0	174	0	0	759	2	0	281	1	43	0	14	0	0	244	0	0	0	0
sq54;size=2392;	0	0	0	615	0	0	0	290	0	0	525	9	1	458	0	57	0	10	0	0	427	0	0	0	0
sq55;size=2345;	0	0	0	621	0	0	0	360	3	0	384	5	0	758	0	0	0	39	0	0	174	0	0	1	0
sq56;size=2133;	0	0	0	23	1	0	0	62	317	0	20	172	10	6	0	675	0	554	3	0	55	0	0	234	1
sq57;size=2117;	0	0	0	974	0	0	0	53	22	0	580	51	6	335	0	0	2	0	0	0	94	0	0	0	0
sq58;size=2102;	0	0	0	29	0	0	0	268	430	0	32	185	0	408	0	164	1	342	0	0	159	0	0	84	0
sq59;size=2087;	0	0	0	131	0	0	0	62	361	0	152	484	47	28	0	233	0	118	0	0	133	0	0	338	0
sq60;size=2056;	0	0	0	218	0	0	0	1259	5	0	149	13	0	378	0	0	0	28	0	0	4	0	0	0	2
sq61;size=2055;	0	0	0	499	0	0	0	423	132	0	412	30	0	320	0	3	0	45	0	0	190	0	0	0	1
sq62;size=1972;	0	0	0	501	0	0	0	191	0	0	477	0	0	759	0	0	0	0	0	0	43	0	0	0	1
sq63;size=1965;	0	0	0	146	0	0	0	32	174	0	130	675	2	92	0	126	0	141	0	0	58	0	0	389	0
sq64;size=1963;	0	0	0	756	0	0	0	104	0	0	635	6	23	153	0	0	0	24	0	0	262	0	0	0	0
sq65;size=1948;	0	0	0	118	0	1	0	1445	0	0	121	0	1	27	0	1	3	88	0	0	141	0	0	0	2
sq66;size=1935;	0	0	0	33	0	0	0	15	162	0	30	158	452	0	0	716	0	20	0	0	0	0	0	347	2
sq67;size=1867;	0	0	0	326	0	0	0	266	110	0	305	259	1	207	0	77	0	217	0	0	69	0	0	30	0
sq68;size=1851;	0	0	0	151	0	0	0	107	200	0	141	184	353	141	0	77	0	52	0	0	143	0	0	301	1
sq69;size=1831;	0	0	0	577	0	0	0	174	10	0	452	51	14	324	0	61	0	32	0	0	114	0	0	22	0
sq70;size=1819;	0	0	0	0	0	0	0	0	261	0	0	127	2	2	0	983	0	170	0	0	1	0	0	272	1
sq71;size=1818;	0	1	0	0	0	0	0	4	0	0	0	13	1784	0	0	0	0	0	0	0	0	0	0	16	0
sq72;size=1808;	0	0	0	430	0	0	0	233	29	0	299	2	0	398	1	18	1	40	0	0	357	0	0	0	0
sq73;size=1732;	1	0	0	0	0	0	0	0	69	0	0	0	0	88	0	671	0	902	0	0	1	0	0	0	0
sq74;size=1726;	0	0	0	1	0	0	0	91	258	0	0	48	377	0	0	710	0	106	1	0	3	2	0	129	0
sq75;size=1720;	0	0	0	282	0	0	0	491	16	0	232	26	0	320	0	0	0	37	0	0	316	0	0	0	0
sq76;size=1712;	0	0	0	100	0	0	0	313	79	0	68	183	0	365	0	36	0	145	0	0	383	0	3	37	0
sq77;size=1711;	0	0	0	0	0	0	0	31	457	0	0	5	438	0	0	735	0	2	0	0	0	2	0	40	1
sq78;size=1659;	0	0	0	223	0	0	0	8	78	0	119	740	186	10	1	137	0	82	0	0	0	0	0	75	0
sq79;size=1639;	0	0	0	24	0	0	0	52	180	0	33	227	462	2	0	278	0	123	0	0	68	0	4	186	0
sq80;size=1624;	0	0	0	318	0	0	0	93	179	0	294	385	0	8	0	18	0	74	0	0	230	0	2	23	0
sq81;size=1566;	0	0	0	206	0	0	0	100	146	0	168	283	103	67	0	182	0	120	0	0	78	0	0	113	0
sq82;size=1502;	0	0	0	0	0	0	0	2	0	0	0	10	1241	0	0	0	0	0	0	0	0	0	0	249	0
sq83;size=1498;	0	0	0	280	0	0	0	369	0	0	240	2	44	373	0	87	1	76	0	0	25	0	0	1	0
sq84;size=1477;	0	0	0	154	0	0	0	65	156	0	124	335	84	28	0	82	0	80	0	0	23	0	0	346	0
sq85;size=1422;	0	0	0	559	0	0	0	59	0	0	482	35	0	42	0	0	0	0	0	0	245	0	0	0	0
sq86;size=1402;	0	0	0	24	0	0	0	9	168	0	16	35	93	0	0	801	0	102	2	0	69	0	0	83	0
sq87;size=1396;	0	0	0	271	0	0	0	441	0	0	327	2	1	234	1	24	0	5	0	0	90	0	0	0	0
sq88;size=1387;	0	0	0	134	0	0	0	16	197	0	71	354	0	6	0	17	0	58	0	0	3	0	0	529	2
sq89;size=1379;	0	0	0	0	0	0	0	0	0	0	0	70	1163	0	0	0	0	0	0	0	0	0	0	146	0
sq90;size=1353;	0	0	0	26	0	0	0	92	219	0	31	152	0	3	0	278	0	182	0	1	212	0	0	157	0
sq91;size=1347;	0	0	0	357	0	0	0	108	60	0	351	10	3	376	0	20	0	52	0	0	10	0	0	0	0
sq92;size=1327;	0	0	0	29	0	0	0	195	37	0	29	185	1	52	0	67	0	207	0	0	244	0	0	280	1
sq93;size=1320;	0	0	0	18	0	1	0	197	216	0	16	300	59	22	0	59	0	134	0	0	129	0	0	169	0
sq94;size=1313;	0	0	0	249	0	0	0	7	84	1	155	218	0	81	0	185	0	97	0	71	3	0	0	162	0
sq95;size=1307;	0	0	0	55	0	0	0	104	207	0	28	36	0	347	0	181	0	337	0	0	10	0	0	2	0
sq96;size=1288;	0	0	0	107	0	0	0	74	138	0	128	90	10	191	0	257	0	131	0	0	35	0	0	127	0
sq97;size=1273;	0	0	0	107	1	0	0	9	150	0	87	261	1	95	0	56	0	186	2	0	167	0	0	151	0
sq98;size=1238;	0	0	0	17	0	2	0	102	93	0	22	123	120	10	0	218	0	468	0	0	7	0	2	54	0
sq99;size=1231;	0	0	0	551	0	0	0	14	0	0	502	5	0	88	0	0	1	37	0	0	33	0	0	0	0
sq100;size=1229;	0	1	0	45	0	0	0	226	177	0	52	161	28	30	0	135	0	66	0	0	121	0	0	186	1
sq101;size=1229;	0	0	0	0	0	0	0	4	0	0	1	173	170	0	0	0	0	0	0	0	0	0	0	880	1
sq102;size=1207;	0	0	0	0	0	0	0	0	0	0	0	1061	0	0	0	0	0	0	0	0	0	0	0	146	0
sq103;size=1205;	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1201	0	0	0	0	0	0	0
sq104;size=1198;	0	0	0	99	0	0	0	18	118	1	80	110	43	149	0	108	0	19	0	0	239	0	0	214	0
sq105;size=1197;	0	0	0	31	0	0	0	16	225	0	48	209	0	1	0	193	0	76	0	0	82	0	0	316	0
sq106;size=1185;	0	0	0	0	0	0	0	4	112	0	0	14	572	0	0	298	0	3	0	0	0	0	0	182	0
sq107;size=1163;	0	0	0	27	0	0	0	44	180	0	14	239	169	17	0	99	0	49	0	0	1	1	1	322	0
sq108;size=1149;	1	0	0	132	0	0	0	80	202	0	117	136	0	44	0	46	0	160	0	0	177	0	0	54	0
sq109;size=1139;	0	0	0	98	0	0	0	681	3	0	108	0	0	246	0	0	0	3	0	0	0	0	0	0	0
sq110;size=1096;	0	0	0	347	0	0	0	42	0	0	243	1	0	67	0	12	0	0	0	0	384	0	0	0	0
sq111;size=1093;	1	0	0	244	0	0	0	143	0	0	208	0	0	273	0	10	0	4	0	0	210	0	0	0	0
sq112;size=1069;	0	0	0	485	0	0	0	88	8	0	335	52	0	76	0	4	1	4	0	0	16	0	0	0	0
sq113;size=1050;	0	0	0	243	0	0	0	284	6	0	145	18	0	149	0	9	0	44	0	0	152	0	0	0	0
sq114;size=1039;	0	0	0	123	0	0	0	80	0	0	60	0	681	29	0	2	0	1	0	0	62	0	0	1	0
sq115;size=1036;	0	0	0	124	0	0	0	124	60	0	136	86	0	0	0	227	0	64	0	0	71	0	0	144	0
sq116;size=1026;	0	0	0	0	0	0	0	0	38	0	0	0	879	0	0	90	0	15	0	0	0	0	0	1	3
sq117;size=1011;	0	0	0	267	0	0	0	139	6	0	152	11	12	95	0	21	0	22	0	0	286	0	0	0	0
sq118;size=1009;	0	0	0	2	0	0	0	40	87	0	3	61	544	0	0	148	0	35	0	0	13	0	2	74	0
sq119;size=987;	0	0	0	159	0	0	0	42	71	0	110	51	65	224	0	0	0	5	0	0	259	0	0	1	0
sq120;size=973;	0	0	0	98	0	0	0	50	183	0	99	112	0	66	0	38	0	47	0	0	189	0	2	89	0
sq121;size=972;	0	0	0	130	0	0	0	100	18	0	123	97	1	0	0	66	0	47	0	0	216	0	0	174	0
sq122;size=969;	0	0	0	25	0	0	0	0	23	0	29	24	721	0	0	127	0	3	0	0	0	0	0	17	0
sq123;size=955;	0	0	0	24	0	0	0	36	187	0	26	119	295	0	0	84	0	4	0	0	0	0	0	180	0
sq124;size=950;	0	0	0	0	0	0	0	0	0	0	0	3	882	0	0	0	0	0	0	0	0	0	0	63	2
sq125;size=942;	0	0	0	22	0	0	0	0	36	0	33	338	54	357	0	51	0	27	0	0	0	0	0	24	0
sq126;size=930;	0	0	0	278	0	0	0	155	0	0	289	44	0	106	0	3	1	9	0	0	43	0	0	1	1
sq127;size=927;	0	0	0	12	0	0	0	41	0	0	13	2	0	818	0	0	0	36	0	0	4	0	1	0	0
sq128;size=923;	0	0	0	93	0	0	0	137	15	0	93	19	0	180	0	12	0	60	0	0	314	0	0	0	0
sq129;size=922;	0	0	0	0	0	0	0	0	0	0	0	719	0	0	0	82	0	0	0	0	0	0	0	121	0
sq130;size=915;	0	0	0	0	0	0	0	0	0	0	0	0	914	0	0	0	0	0	0	0	0	0	0	1	0
sq131;size=908;	0	0	0	0	0	0	0	1	1	0	0	55	73	0	1	0	0	0	0	0	0	0	0	776	1
sq132;size=902;	0	0	0	16	0	0	0	32	127	0	14	118	2	0	0	89	0	177	1	0	0	0	2	323	1
sq133;size=899;	0	0	0	4	0	0	0	0	22	0	0	186	0	5	0	114	0	6	0	0	320	0	0	242	0
sq134;size=897;	0	0	0	2	0	0	0	62	229	0	7	44	1	34	0	252	0	114	0	47	0	0	0	105	0
sq135;size=888;	0	0	0	160	0	0	0	0	238	0	162	298	0	0	0	0	0	4	0	0	1	0	0	25	0
sq136;size=884;	0	0	0	34	0	0	0	3	130	0	27	78	10	0	0	190	0	32	0	0	170	0	0	210	0
sq137;size=882;	0	0	0	0	0	0	0	3	114	0	0	25	0	36	0	301	0	136	0	9	9	0	0	249	0
sq138;size=868;	0	0	0	205	0	0	0	19	22	0	177	33	0	325	0	28	0	39	0	0	19	0	0	1	0
sq139;size=868;	0	0	0	0	0	0	0	254	274	0	0	2	2	5	0	0	0	30	0	0	300	0	0	0	1
sq140;size=849;	1	0	0	13	0	0	0	14	39	0	9	77	0	1	0	224	0	250	0	0	27	0	0	194	0
sq141;size=846;	1	0	0	93	0	0	0	0	145	0	84	157	0	0	0	13	0	4	0	0	185	0	0	164	0
sq142;size=843;	0	0	0	29	0	0	0	20	122	0	18	177	0	56	0	52	0	220	0	0	0	0	0	149	0
sq143;size=843;	0	0	0	0	0	0	0	1	0	0	0	1	731	0	0	82	1	0	0	0	0	0	0	27	0
sq144;size=842;	0	0	0	28	0	0	0	48	54	0	24	104	11	5	0	100	0	77	0	0	15	0	2	374	0
sq145;size=839;	0	0	0	0	0	0	0	0	0	0	0	2	774	0	0	0	0	0	0	0	0	0	0	63	0
sq146;size=825;	0	0	0	249	0	0	0	68	1	0	220	2	0	46	0	0	0	1	0	0	238	0	0	0	0
