0BSFd001	0BSFd002	0BSFd003	0BSFd004	0BSFd005	0BSFd006	0BSFd007	0BSFd008	0BSFd009	0BSFd010	0BSFd011	0BSFd012	0BSFd013	0BSFd014	0BSFd015	0BSFd016	0BSFd017	0BSFd018	0BSFd019	0BSFd020	0BSFd021	0BSFd022	0BSFd023	0BSFd024	0BSFd025
sq567;size=382;	1	11	8	0	10	58	0	2	14	0	3	6	37	12	30	25	6	19	21	62	2	28	2	25	0
sq568;size=382;	0	6	1	0	1	0	0	0	24	0	0	5	9	6	14	156	0	21	132	0	0	4	1	2	0
sq569;size=381;	4	6	10	0	10	0	0	20	21	0	22	12	9	58	45	7	63	30	29	0	17	1	16	1	0
sq570;size=381;	0	9	3	0	5	53	0	1	24	0	0	0	0	0	7	152	4	6	83	0	0	31	0	3	0
sq571;size=380;	6	31	0	0	22	0	0	0	13	0	0	4	0	55	13	15	24	67	0	0	10	45	67	8	0
sq572;size=380;	1	2	7	0	2	0	0	0	9	9	21	5	0	0	19	42	15	48	122	0	0	7	36	35	0
sq573;size=380;	1	0	0	0	6	0	0	84	16	0	38	9	0	49	9	0	40	14	3	0	87	6	18	0	0
sq574;size=379;	0	2	31	0	0	0	0	0	0	0	0	6	18	0	0	11	0	0	15	149	0	106	0	41	0
sq575;size=378;	0	0	0	37	2	263	34	6	0	0	0	0	8	0	2	0	1	2	0	16	6	0	0	0	1
sq576;size=375;	7	7	60	0	3	0	0	0	31	83	0	21	0	0	1	9	0	3	0	0	0	57	0	93	0
sq577;size=375;	6	0	1	0	15	0	0	39	26	0	123	2	19	41	0	4	18	0	12	0	24	0	45	0	0
sq578;size=374;	3	11	0	0	0	154	0	31	26	0	32	16	7	0	0	16	2	0	5	0	53	8	2	8	0
sq579;size=373;	0	13	2	0	16	0	0	12	8	0	0	5	1	0	3	143	0	19	54	0	0	16	13	68	0
sq580;size=373;	0	0	0	0	0	0	0	0	0	0	0	4	266	0	0	0	0	0	0	0	0	57	0	46	0
sq581;size=372;	0	4	2	3	0	0	0	0	6	4	0	0	8	0	2	189	0	3	119	0	0	30	0	2	0
sq582;size=371;	0	2	15	0	0	0	0	0	92	0	0	47	26	0	16	28	0	14	3	0	0	0	18	110	0
sq583;size=370;	26	15	29	0	23	0	0	42	41	0	5	17	7	11	12	27	20	10	26	33	3	6	12	5	0
sq584;size=370;	0	0	0	0	0	249	0	0	0	0	0	0	39	0	0	0	0	0	0	0	2	54	0	26	0
sq585;size=367;	14	15	40	0	7	0	0	5	30	0	5	20	4	2	9	6	7	7	10	81	31	0	38	36	0
sq586;size=366;	5	52	47	0	0	0	0	9	51	11	5	28	0	0	35	4	0	11	4	21	0	0	0	83	0
sq587;size=366;	0	6	57	0	0	0	0	10	0	0	0	9	16	0	6	112	0	0	26	80	0	16	0	28	0
sq588;size=364;	7	6	21	0	9	0	0	2	16	0	14	38	17	14	39	16	59	46	19	3	7	3	23	5	0
sq589;size=364;	5	23	54	0	51	0	0	9	25	0	16	35	7	3	9	13	6	5	12	1	25	13	15	37	0
sq590;size=364;	0	17	9	0	20	0	0	1	26	0	0	4	50	0	4	102	0	15	36	0	0	56	3	21	0
sq591;size=364;	0	0	0	0	0	0	0	0	1	0	0	0	0	10	32	16	143	79	45	0	38	0	0	0	0
sq592;size=363;	0	9	40	0	5	49	0	7	25	0	8	12	17	24	17	11	3	14	5	65	2	31	1	18	0
sq593;size=363;	0	4	0	0	0	340	0	0	1	0	0	0	0	0	0	11	0	0	0	0	0	7	0	0	0
sq594;size=362;	8	0	0	0	18	131	0	48	5	0	6	2	0	24	18	3	63	19	0	0	11	0	6	0	0
sq595;size=362;	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
sq596;size=361;	0	2	14	0	4	15	0	2	12	0	0	2	17	9	8	3	0	1	0	189	11	55	0	17	0
sq597;size=360;	0	8	11	0	13	0	0	0	61	0	0	6	0	12	19	88	4	34	67	0	0	1	11	25	0
sq598;size=359;	15	30	14	0	18	0	0	0	12	0	0	15	0	7	23	27	10	82	60	0	0	0	11	35	0
sq599;size=359;	5	0	2	0	22	0	0	27	25	0	22	15	14	14	35	3	86	35	8	0	20	3	20	3	0
sq600;size=359;	0	2	4	0	0	180	0	0	2	0	0	1	33	0	0	5	0	0	0	32	0	60	0	40	0
sq601;size=358;	10	38	47	0	25	0	0	0	14	0	0	1	0	21	5	5	9	8	16	148	0	11	0	0	0
sq602;size=357;	6	7	18	0	6	55	0	0	22	0	31	25	26	0	14	5	1	11	13	0	12	24	31	50	0
sq603;size=357;	5	33	49	0	2	0	0	0	26	0	0	5	35	0	26	15	11	28	10	0	0	59	9	44	0
sq604;size=355;	5	9	11	0	1	27	0	0	15	0	0	7	38	0	15	18	0	4	51	69	0	18	6	61	0
sq605;size=355;	4	12	26	0	2	0	0	6	23	0	13	26	8	4	17	3	13	12	16	0	5	13	91	61	0
sq606;size=354;	5	1	14	0	5	0	0	16	7	0	120	29	62	6	17	4	4	2	5	0	35	12	8	2	0
sq607;size=354;	1	26	4	0	6	0	0	21	29	0	32	3	0	5	4	21	72	39	59	0	14	16	2	0	0
sq608;size=352;	7	88	232	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0	0	0	0	0	0	2	0
sq609;size=352;	3	13	9	0	0	0	0	0	67	0	0	12	0	30	18	1	24	107	12	0	0	0	8	48	0
sq610;size=352;	0	0	0	0	0	248	0	0	2	0	7	1	15	0	3	2	1	6	0	44	0	18	5	0	0
sq611;size=350;	5	46	55	0	2	0	0	9	54	0	48	4	0	0	11	13	16	39	42	0	0	0	1	5	0
sq612;size=349;	1	5	4	0	9	0	0	3	6	0	0	6	0	22	12	65	8	31	152	0	0	7	0	18	0
sq613;size=346;	14	8	5	0	6	0	0	48	11	0	34	13	0	35	27	21	24	37	29	0	3	0	25	6	0
sq614;size=346;	0	0	19	0	4	0	0	0	33	0	0	7	0	21	25	22	14	115	74	0	0	7	2	3	0
sq615;size=345;	4	11	28	0	27	0	0	27	45	100	0	2	1	0	4	27	1	29	13	0	0	0	10	16	0
sq616;size=345;	2	6	28	0	3	2	0	0	6	0	5	11	62	0	5	43	0	2	14	27	0	102	0	27	0
sq617;size=343;	0	0	2	0	2	251	0	0	12	0	0	0	0	0	1	61	0	0	5	0	0	9	0	0	0
sq618;size=341;	16	3	18	0	19	0	0	12	0	0	38	19	0	16	22	16	29	53	59	0	0	10	11	0	0
sq619;size=341;	0	0	61	0	0	0	0	0	0	0	0	27	3	0	0	21	0	17	184	0	0	25	0	3	0
sq620;size=340;	2	29	12	6	8	14	7	12	5	27	51	22	13	10	8	2	14	18	9	31	2	13	12	11	2
sq621;size=339;	6	20	2	0	11	0	0	1	23	0	0	10	0	7	28	89	4	23	94	0	0	10	5	6	0
sq622;size=338;	2	5	12	0	6	0	0	12	11	0	16	5	61	0	10	29	0	20	41	25	16	40	0	27	0
sq623;size=338;	0	5	4	0	21	72	0	8	14	0	0	9	1	0	4	104	6	1	28	4	1	56	0	0	0
sq624;size=337;	45	8	25	0	7	94	0	2	8	15	2	17	35	1	15	15	1	1	3	2	0	29	2	10	0
sq625;size=337;	10	33	0	0	19	0	0	11	47	0	0	6	15	7	23	10	28	24	23	0	19	29	19	13	1
sq626;size=337;	7	21	46	0	23	0	0	0	45	0	1	15	7	7	13	3	1	53	15	0	0	2	9	69	0
sq627;size=337;	1	13	39	0	5	0	0	2	46	102	0	0	0	0	0	97	0	0	11	0	0	10	1	10	0
sq628;size=337;	0	4	0	0	6	0	0	3	2	0	0	0	3	5	6	32	2	34	222	0	0	11	3	4	0
sq629;size=337;	0	0	0	0	3	0	0	2	18	0	89	43	0	17	15	25	13	46	7	21	9	8	18	3	0
sq630;size=336;	1	0	0	0	14	0	0	1	5	0	11	3	0	87	48	0	44	26	5	0	91	0	0	0	0
sq631;size=335;	12	6	3	0	19	0	0	12	7	0	0	8	3	72	20	11	59	55	27	0	15	3	3	0	0
sq632;size=335;	5	1	6	0	15	0	0	23	19	0	20	8	31	51	51	3	36	9	4	0	18	18	13	4	0
sq633;size=335;	4	41	16	0	1	11	0	0	20	0	0	2	0	0	11	188	0	15	7	0	0	0	0	19	0
sq634;size=334;	0	6	7	0	15	0	0	0	15	0	0	3	0	0	0	159	5	18	19	0	0	69	0	18	0
sq635;size=334;	0	2	0	0	8	0	0	0	17	194	0	2	0	3	3	65	0	3	10	0	0	24	1	2	0
sq636;size=333;	0	12	27	0	0	0	0	0	12	0	0	18	28	0	0	73	0	0	4	0	0	87	0	72	0
sq637;size=332;	1	1	4	0	0	130	0	2	1	0	22	7	0	25	11	4	54	28	33	0	4	2	2	1	0
sq638;size=332;	0	4	21	0	0	5	0	10	42	82	0	0	0	0	1	48	0	0	0	3	0	80	3	33	0
sq639;size=331;	3	39	186	0	0	0	0	0	47	0	0	30	0	0	7	2	0	0	0	0	0	0	2	15	0
sq640;size=331;	0	5	8	0	0	0	0	1	12	290	0	2	0	0	0	11	0	0	0	0	0	1	0	1	0
sq641;size=329;	15	1	6	0	29	0	0	25	18	0	8	6	0	47	19	1	46	39	9	0	50	0	10	0	0
sq642;size=329;	0	8	14	0	0	252	0	2	7	0	0	2	0	0	8	5	0	3	7	0	1	12	0	8	0
sq643;size=328;	1	0	0	0	17	0	0	70	1	0	75	7	5	91	1	0	20	4	1	0	21	0	14	0	0
sq644;size=328;	0	2	2	0	0	318	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
sq645;size=328;	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	323	0	0	0	1	0
sq646;size=327;	21	0	0	0	35	0	0	70	2	0	36	3	0	104	7	7	16	14	4	0	3	0	5	0	0
sq647;size=327;	0	2	86	0	0	125	0	0	0	0	0	18	0	0	2	12	0	0	0	0	0	18	1	63	0
sq648;size=326;	30	30	44	0	19	6	0	2	28	0	4	21	6	2	4	11	8	14	4	0	8	6	25	54	0
sq649;size=326;	3	26	3	0	10	0	0	13	21	0	0	10	2	1	24	39	16	36	92	0	0	16	10	4	0
sq650;size=325;	12	9	5	0	10	4	0	18	9	0	12	2	3	13	16	17	46	30	8	1	69	5	34	2	0
sq651;size=325;	3	5	8	0	2	261	0	8	0	0	0	3	1	0	2	12	0	2	0	6	0	0	7	5	0
sq652;size=324;	2	5	8	0	0	17	0	0	21	93	0	2	0	0	4	73	8	20	30	21	0	17	3	0	0
sq653;size=323;	2	4	35	0	1	1	0	0	47	12	0	0	0	0	0	133	0	0	1	0	0	78	0	9	0
sq654;size=322;	126	0	2	0	7	1	0	23	7	0	28	0	0	60	6	2	46	6	2	0	5	0	1	0	0
sq655;size=322;	7	13	6	0	3	0	0	0	40	0	38	26	0	6	64	1	23	16	26	0	16	22	13	2	0
sq656;size=322;	7	7	6	0	18	0	0	34	6	0	0	0	0	21	12	17	63	40	12	0	34	13	31	1	0
sq657;size=321;	23	18	79	0	2	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2	9	0
sq658;size=319;	3	6	59	0	0	0	0	0	5	0	0	28	0	0	2	6	0	3	38	153	0	0	0	16	0
sq659;size=318;	0	0	2	0	0	281	0	0	5	0	0	8	3	0	5	2	0	2	10	0	0	0	0	0	0
sq660;size=317;	2	11	66	0	0	0	0	0	0	0	35	19	10	0	0	3	0	0	0	19	0	55	1	96	0
sq661;size=316;	0	0	0	0	52	2	0	45	0	0	40	4	21	78	0	4	46	3	0	0	16	0	5	0	0
sq662;size=315;	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq663;size=313;	31	2	1	0	13	0	0	23	17	0	24	11	3	42	10	1	42	17	3	0	38	0	35	0	0
sq664;size=313;	3	9	10	0	0	21	0	0	22	0	4	7	36	3	10	13	9	20	63	0	0	57	0	26	0
sq665;size=313;	1	25	0	0	14	0	0	8	18	9	12	4	0	6	15	31	18	39	66	0	18	11	13	5	0
sq666;size=312;	9	2	10	0	20	4	0	22	19	0	14	10	0	24	24	5	30	33	36	21	12	4	7	6	0
sq667;size=312;	3	3	7	0	2	0	0	2	47	0	11	25	23	0	1	29	8	10	7	0	7	17	44	66	0
sq668;size=312;	0	7	3	0	0	0	0	0	21	63	0	0	48	0	4	63	2	3	18	17	0	60	0	3	0
sq669;size=312;	0	0	3	0	0	0	0	0	12	0	57	20	66	1	27	55	2	2	15	43	3	0	6	0	0
sq670;size=311;	0	6	1	0	6	37	0	5	9	0	12	1	63	3	8	41	11	7	29	0	3	55	3	11	0
sq671;size=311;	0	3	3	0	2	247	0	0	2	0	0	0	0	0	1	20	0	0	0	0	0	33	0	0	0
sq672;size=310;	0	30	15	0	8	0	0	9	31	0	0	2	6	0	1	163	0	2	11	0	0	31	0	1	0
sq673;size=309;	17	12	36	0	21	37	1	11	20	8	8	22	3	5	12	11	4	5	10	13	18	4	16	15	0
sq674;size=309;	15	25	107	0	0	0	0	0	31	0	1	93	3	0	16	0	0	7	4	5	0	0	0	2	0
sq675;size=309;	0	0	7	0	0	0	0	0	0	0	111	54	19	0	6	50	0	11	15	0	0	14	0	22	0
sq676;size=308;	6	0	0	0	1	0	0	59	0	0	82	0	0	57	4	5	0	0	0	0	73	9	12	0	0
sq677;size=307;	4	12	61	0	0	0	0	0	89	0	0	52	10	0	23	9	0	2	0	0	2	5	0	38	0
sq678;size=305;	6	0	7	0	5	0	0	12	3	0	91	0	14	69	5	1	17	0	0	0	40	0	35	0	0
sq679;size=305;	0	0	0	0	0	0	0	0	0	150	0	0	49	0	0	52	0	0	0	0	0	54	0	0	0
sq680;size=304;	0	13	61	0	0	0	0	0	9	0	0	28	63	0	2	41	0	0	5	0	0	36	0	46	0
sq681;size=303;	0	0	133	0	0	0	0	0	0	0	0	2	24	0	0	17	0	0	0	0	0	41	0	86	0
sq682;size=302;	7	0	0	0	25	0	0	83	0	0	5	0	0	9	0	2	27	15	23	0	49	0	57	0	0
sq683;size=302;	0	19	73	0	0	0	0	0	7	0	16	65	8	0	0	31	0	0	4	0	0	12	0	67	0
sq684;size=301;	20	5	6	0	11	0	0	0	31	0	0	7	0	32	41	3	54	23	15	0	13	0	40	0	0
sq685;size=299;	0	0	14	0	0	17	0	0	16	0	0	0	103	0	1	62	0	7	4	17	0	31	0	27	0
sq686;size=299;	0	0	0	0	2	0	292	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0
sq687;size=298;	0	0	28	0	0	106	0	0	17	0	0	0	0	0	0	121	0	0	18	0	0	8	0	0	0
sq688;size=298;	0	0	19	0	0	0	0	0	10	0	0	21	0	0	44	0	0	0	0	173	0	31	0	0	0
sq689;size=297;	0	2	2	0	0	78	0	0	6	0	0	3	5	0	2	66	0	2	52	52	1	7	10	9	0
sq690;size=296;	5	3	2	11	5	7	4	63	17	1	55	37	28	6	0	12	0	9	1	3	4	0	0	17	6
sq691;size=295;	0	0	3	0	2	0	0	0	16	0	4	5	9	5	22	26	11	29	41	12	32	5	54	19	0
sq692;size=294;	19	6	6	0	13	0	0	18	19	0	0	9	0	20	29	11	39	51	35	0	7	2	10	0	0
sq693;size=292;	8	4	2	0	30	0	0	14	0	0	9	10	0	14	14	7	15	59	32	0	3	4	48	19	0
sq694;size=292;	0	0	0	0	0	0	0	0	13	9	0	2	52	0	0	95	1	0	101	9	0	9	0	1	0
sq695;size=291;	21	28	5	0	11	0	0	0	27	0	0	15	24	4	9	38	8	23	24	0	0	6	14	34	0
sq696;size=291;	0	5	5	0	25	0	0	2	38	0	0	15	2	0	0	51	2	12	28	21	0	58	0	27	0
sq697;size=291;	0	1	5	0	0	220	0	0	0	0	0	24	1	0	1	3	0	0	14	0	0	3	0	19	0
sq698;size=290;	13	8	2	0	16	0	0	4	6	0	0	8	0	62	1	31	19	35	11	0	0	1	48	25	0
sq699;size=288;	3	2	7	0	11	0	0	4	16	0	1	24	31	9	8	15	2	19	7	0	2	4	77	46	0
sq700;size=287;	33	38	26	0	38	9	0	12	35	0	1	6	5	1	1	10	6	17	5	0	10	9	20	5	0
sq701;size=287;	0	4	5	0	9	0	0	1	25	90	7	6	37	1	6	25	0	7	20	9	0	15	1	19	0
sq702;size=287;	0	0	0	0	0	0	0	4	0	189	7	2	7	4	3	0	44	5	13	0	3	1	4	1	0
sq703;size=286;	7	5	17	0	5	0	0	8	21	0	24	15	7	17	15	11	9	16	16	0	21	3	51	18	0
sq704;size=286;	0	2	0	0	2	0	0	0	15	217	0	0	0	0	0	49	0	0	0	0	0	0	0	1	0
sq705;size=285;	9	12	11	0	15	0	0	41	11	0	2	6	3	9	8	18	4	12	3	0	56	5	47	13	0
sq706;size=285;	1	1	0	0	8	0	0	0	0	0	0	0	0	0	1	42	7	54	85	0	0	86	0	0	0
sq707;size=285;	0	0	0	0	0	0	0	0	0	0	6	4	148	0	0	0	0	0	0	0	0	84	0	43	0
sq708;size=283;	3	3	10	0	4	2	0	27	19	0	44	10	0	13	24	5	27	22	21	0	32	4	12	1	0
sq709;size=282;	54	7	15	0	14	0	0	9	28	0	11	7	3	13	37	21	5	9	21	0	1	5	13	9	0
sq710;size=282;	32	12	0	0	10	0	0	17	14	0	31	7	11	0	18	12	28	31	27	0	21	0	11	0	0
sq711;size=282;	5	11	1	0	9	0	0	0	3	0	0	0	0	0	3	199	0	2	10	39	0	0	0	0	0
sq712;size=282;	0	5	1	0	9	15	0	2	32	78	0	1	6	0	4	23	0	0	1	1	0	35	3	66	0
sq713;size=281;	239	10	4	0	1	0	0	1	2	0	2	0	0	1	3	2	11	3	2	0	0	0	0	0	0
sq714;size=281;	0	0	4	0	0	0	0	0	28	0	2	20	0	18	13	27	36	47	13	0	16	1	30	26	0
sq715;size=279;	17	5	8	0	16	0	0	15	17	1	7	5	0	40	33	4	45	19	5	7	29	0	5	1	0
sq716;size=279;	0	4	10	0	1	46	0	0	36	118	0	2	5	0	0	41	0	0	1	0	0	10	0	5	0
sq717;size=279;	0	0	1	0	2	0	0	38	51	6	0	7	0	28	17	35	18	27	37	0	0	0	1	11	0
sq718;size=278;	28	18	25	0	50	0	0	10	14	0	0	11	6	7	18	6	9	43	8	0	3	0	9	13	0
sq719;size=278;	3	5	0	0	4	0	0	93	1	0	0	2	0	101	5	5	26	7	0	0	15	0	11	0	0
sq720;size=277;	0	0	0	0	0	0	273	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq721;size=276;	2	3	3	0	0	0	0	2	43	0	0	55	1	0	2	28	0	8	28	0	35	3	9	54	0
sq722;size=276;	0	9	88	0	0	0	0	0	40	0	0	68	6	0	28	9	0	9	11	0	0	0	0	8	0
sq723;size=275;	17	10	7	0	13	0	0	3	22	0	45	19	13	12	38	11	6	11	4	1	29	3	5	6	0
sq724;size=275;	11	18	13	0	13	0	0	9	7	0	0	12	0	10	28	22	40	17	14	0	26	9	12	14	0
sq725;size=274;	0	1	8	0	0	0	0	0	22	0	0	6	93	0	0	20	1	0	5	15	0	58	0	45	0
sq726;size=272;	1	13	15	0	14	0	0	3	27	0	0	2	0	2	12	87	2	20	36	0	2	17	4	15	0
sq727;size=272;	0	3	3	0	1	0	0	0	12	0	0	5	43	0	1	107	0	0	12	0	1	74	1	9	0
sq728;size=271;	17	13	5	0	16	0	0	22	6	0	16	7	0	1	6	17	17	38	57	4	25	0	3	1	0
sq729;size=271;	7	1	3	0	0	0	0	3	16	140	2	4	1	9	17	5	32	6	3	0	5	1	3	13	0
sq730;size=271;	5	29	6	0	31	0	0	6	77	0	0	3	0	3	7	11	9	14	10	0	26	29	2	3	0
sq731;size=271;	1	8	76	0	0	0	0	0	29	0	0	47	0	0	31	19	0	4	8	2	0	0	0	46	0
sq732;size=271;	0	6	14	0	3	47	0	0	1	0	0	0	0	0	0	44	0	0	3	49	0	97	0	7	0
sq733;size=270;	0	1	0	0	0	0	0	0	5	233	0	0	2	0	0	8	0	10	0	0	0	6	4	1	0
sq734;size=269;	0	14	11	0	2	0	0	0	100	0	6	14	0	5	16	39	4	5	1	0	2	2	1	47	0
sq735;size=269;	0	0	18	0	7	108	0	0	0	0	0	13	10	0	0	22	0	1	6	3	0	50	0	31	0
sq736;size=269;	0	0	10	0	0	0	0	0	32	0	0	48	33	1	0	19	0	1	0	73	0	4	0	48	0
sq737;size=269;	0	0	0	0	1	232	0	0	0	0	0	1	2	0	6	18	1	4	1	0	0	1	2	0	0
sq738;size=269;	0	0	0	0	0	266	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
sq739;size=268;	12	9	5	0	16	0	0	26	10	0	12	3	0	25	10	3	15	3	3	0	61	0	44	11	0
sq740;size=268;	0	0	7	0	0	0	0	0	3	0	27	31	63	0	1	55	0	2	37	4	0	28	2	8	0
sq741;size=267;	5	3	48	0	0	0	0	0	0	0	0	15	10	0	0	18	0	0	2	72	0	12	0	82	0
sq742;size=267;	0	2	0	0	2	0	0	0	14	0	4	7	0	51	36	11	70	16	2	0	35	15	0	2	0
sq743;size=266;	13	0	2	0	0	112	0	7	4	0	0	1	7	15	12	0	48	2	6	32	5	0	0	0	0
sq744;size=266;	10	1	10	0	10	0	0	25	34	17	23	9	2	14	14	2	28	20	8	0	22	0	14	3	0
sq745;size=265;	20	6	7	0	13	0	0	6	27	0	10	21	4	33	20	3	15	21	28	0	24	1	4	2	0
sq746;size=265;	1	15	15	0	2	0	0	0	25	0	2	11	0	4	3	71	3	47	40	0	0	2	3	21	0
sq747;size=264;	5	9	21	0	24	0	0	16	55	0	1	7	0	0	6	40	3	9	13	0	5	10	25	15	0
sq748;size=262;	55	37	21	0	27	0	0	1	1	0	0	12	0	4	24	17	0	7	40	0	0	0	16	0	0
sq749;size=262;	0	0	21	0	9	0	0	0	6	0	0	0	12	0	0	104	0	0	8	11	0	84	0	7	0
sq750;size=262;	0	0	0	0	6	0	0	0	26	0	0	5	0	0	6	192	0	12	14	0	0	0	0	1	0
sq751;size=262;	0	0	0	0	1	249	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	4	0	0	0
sq752;size=261;	7	3	5	0	13	0	0	7	13	0	6	4	0	16	28	10	33	62	31	0	16	1	6	0	0
sq753;size=261;	5	2	7	0	0	0	0	39	7	0	10	3	16	58	14	2	40	9	4	0	38	0	7	0	0
sq754;size=260;	19	8	1	0	16	0	0	0	32	1	19	13	0	5	5	28	21	48	26	0	0	6	3	9	0
sq755;size=260;	3	0	9	0	0	56	0	0	51	0	1	15	0	0	8	28	5	4	3	0	62	0	2	13	0
sq756;size=260;	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	86	0	78	0	21	0
sq757;size=259;	6	6	2	0	3	0	0	25	20	0	18	9	0	49	33	4	18	20	17	0	14	0	13	2	0
sq758;size=259;	0	3	7	0	9	88	0	0	22	0	0	3	40	0	1	26	2	11	29	2	0	12	0	4	0
sq759;size=259;	0	2	204	0	0	0	0	0	0	0	0	15	0	0	1	20	0	0	1	0	0	3	0	13	0
sq760;size=257;	1	8	0	0	1	0	0	2	16	0	0	3	13	12	33	23	17	56	59	13	0	0	0	0	0
sq761;size=257;	0	0	8	0	3	0	0	0	10	0	0	5	10	4	8	7	10	28	9	55	1	2	49	48	0
sq762;size=255;	14	17	132	0	0	0	0	0	4	0	28	22	16	0	3	0	0	9	6	4	0	0	0	0	0
sq763;size=255;	4	9	21	0	0	0	0	0	2	0	3	1	5	0	175	1	0	1	2	19	0	0	5	7	0
sq764;size=255;	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sq765;size=253;	0	0	77	0	0	0	0	0	0	0	41	1	39	0	0	2	0	0	3	68	0	0	0	22	0
sq766;size=253;	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0
sq767;size=252;	4	5	2	0	8	0	0	14	20	0	9	4	7	17	21	1	34	32	43	0	27	0	3	1	0
sq768;size=251;	12	11	0	0	34	0	0	36	27	0	0	0	0	3	5	3	14	13	5	0	59	13	11	5	0
sq769;size=250;	2	0	5	0	6	1	0	4	3	0	0	7	3	0	0	18	0	0	5	148	4	35	2	7	0
sq770;size=249;	0	0	0	0	10	0	0	30	0	0	109	2	0	27	1	4	15	1	0	0	44	0	6	0	0
sq771;size=248;	0	2	2	0	1	0	0	1	9	0	2	10	0	4	11	30	12	20	121	0	0	10	7	6	0
sq772;size=247;	0	18	3	0	4	161	0	0	2	1	0	0	0	0	0	38	0	4	4	0	0	4	4	4	0
sq773;size=246;	8	13	2	0	3	0	0	2	5	0	0	4	1	0	12	31	29	51	33	0	28	19	1	4	0
sq774;size=245;	5	18	2	0	0	0	0	0	9	0	9	14	0	0	159	1	0	1	0	25	0	0	2	0	0
sq775;size=244;	23	3	8	0	0	0	0	2	5	0	20	3	62	0	9	28	11	10	16	0	0	27	4	13	0
sq776;size=243;	10	1	5	0	8	0	0	22	0	0	24	3	2	45	10	1	19	4	0	1	45	0	34	9	0
sq777;size=243;	4	17	9	0	5	0	0	0	50	0	0	0	0	0	0	152	0	0	5	0	0	0	1	0	0
sq778;size=243;	2	0	0	0	0	0	0	0	6	0	0	0	0	17	27	52	4	21	105	0	0	1	0	8	0
sq779;size=243;	0	0	0	0	5	222	0	0	0	0	0	0	0	0	1	0	0	6	1	0	8	0	0	0	0
sq780;size=241;	6	0	4	0	27	0	0	29	1	0	12	3	0	41	25	5	26	19	7	0	22	0	14	0	0
sq781;size=241;	0	0	0	0	0	239	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
sq782;size=240;	7	1	2	0	2	0	0	16	9	0	3	5	0	36	16	3	87	28	16	0	8	0	1	0	0
sq783;size=240;	2	15	7	0	2	0	0	17	38	0	17	40	0	7	57	4	7	11	0	0	0	0	13	3	0
sq784;size=240;	0	11	6	0	12	0	0	0	26	0	0	2	2	0	5	89	1	22	30	0	0	22	11	1	0
sq785;size=240;	0	8	10	0	4	102	0	0	24	0	0	0	0	0	6	56	0	3	4	0	0	16	1	6	0
sq786;size=240;	0	2	4	0	3	0	0	0	21	0	0	0	8	5	12	55	0	8	36	43	4	8	9	22	0
sq787;size=240;	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	5	0	1	7	224	0	0	0	0	0
sq788;size=239;	3	1	0	0	4	0	0	0	1	0	0	6	0	22	14	12	71	43	40	0	0	14	0	8	0
sq789;size=239;	3	38	42	0	0	0	0	0	12	0	28	5	13	0	3	9	0	2	3	6	0	36	1	38	0
sq790;size=239;	2	14	19	0	1	0	0	0	12	0	0	19	17	0	8	28	0	14	2	0	0	17	18	68	0
sq791;size=239;	2	0	0	0	9	142	0	9	3	0	0	0	0	0	5	5	0	12	43	0	0	0	7	2	0
sq792;size=238;	2	3	15	0	3	30	0	10	23	0	0	3	30	0	0	46	0	0	0	0	0	66	0	7	0
sq793;size=238;	1	3	3	0	10	0	0	0	8	0	6	23	13	0	0	27	2	11	27	83	2	18	0	1	0
sq794;size=238;	0	0	8	0	1	74	0	0	0	0	0	1	1	0	0	86	0	1	0	0	0	31	0	35	0
sq795;size=237;	4	8	7	0	51	0	0	38	46	0	0	3	0	0	5	26	0	1	0	0	4	36	7	1	0
sq796;size=237;	3	11	5	0	7	40	0	1	33	0	0	5	37	0	3	32	0	5	20	0	0	23	3	9	0
sq797;size=237;	2	9	8	0	0	0	0	0	67	0	0	0	0	0	6	138	0	1	5	0	0	0	1	0	0
sq798;size=237;	1	5	0	0	0	0	0	0	0	63	3	2	0	0	157	0	0	4	1	0	0	1	0	0	0
sq799;size=236;	0	2	4	0	0	25	0	0	6	0	0	12	3	0	0	41	0	0	0	99	0	6	0	38	0
sq800;size=235;	0	2	0	0	3	162	0	0	6	0	1	4	1	0	6	5	2	7	6	1	0	15	0	14	0
