0BSFd001	0BSFd002	0BSFd003	0BSFd004	0BSFd005	0BSFd006	0BSFd007	0BSFd008	0BSFd009	0BSFd010	0BSFd011	0BSFd012	0BSFd013	0BSFd014	0BSFd015	0BSFd016	0BSFd017	0BSFd018	0BSFd019	0BSFd020	0BSFd021	0BSFd022	0BSFd023	0BSFd024	0BSFd025
sq47;size=5754;	30	107	212	0	75	240	0	31	151	346	0	20	1	71	153	214	85	204	233	3341	44	63	16	117	0
sq48;size=5750;	22	68	129	31	50	818	0	51	438	719	18	63	155	16	125	1438	33	146	637	239	7	272	51	224	0
sq49;size=5689;	46	187	1099	0	9	167	0	4	320	0	58	642	419	8	130	384	0	56	109	467	0	472	21	1090	1
sq50;size=5680;	198	190	314	0	144	40	0	309	346	83	267	239	510	145	513	318	162	219	329	864	195	80	129	86	0
sq51;size=5675;	158	107	283	1	199	0	0	301	742	0	207	686	155	115	273	70	189	171	153	11	754	42	870	188	0
sq52;size=5611;	393	387	193	0	704	160	0	160	364	15	65	189	62	143	214	166	696	780	454	54	135	14	192	71	0
sq53;size=5610;	219	278	217	0	522	0	0	308	417	0	291	161	52	192	241	274	215	572	397	400	277	94	298	185	0
sq54;size=5606;	113	1	4	0	87	0	0	729	21	0	1991	11	102	1423	32	38	442	17	5	0	376	1	212	1	0
sq55;size=5533;	171	232	466	0	365	395	0	287	362	232	97	232	71	151	222	273	231	201	232	279	278	185	281	290	0
sq56;size=5516;	239	2	2	0	482	0	0	2346	9	0	229	9	23	989	11	24	785	37	18	58	43	0	210	0	0
sq57;size=5384;	109	143	280	0	159	411	0	121	233	16	283	256	341	9	90	677	18	168	183	690	294	439	104	360	0
sq58;size=5224;	68	0	0	1	131	0	0	706	9	0	1842	3	183	851	6	26	500	21	19	0	597	4	256	1	0
sq59;size=5185;	774	108	89	0	239	0	0	699	193	0	478	67	82	494	387	62	574	180	82	107	294	7	251	18	0
sq60;size=4886;	219	130	67	0	292	21	0	616	314	0	83	65	23	615	143	347	357	134	61	0	561	139	597	100	2
sq61;size=4767;	27	83	260	0	142	107	7	34	204	146	2	42	149	46	197	631	65	167	288	1796	35	145	40	154	0
